OriginalText
BRING IT BACK
"it was nearly a year ago, that this game launched, so much fun. Yes, I would still been playing it today.Thank you for your efforts, they are appreciated here."
miss this game :(
"we still talk about you.nothing good, but we do "
Rest in Peace
Best game ever. I will be playing this every single day.
i miss you concord :(
I actually liked this game can I get my License back
"Writing due to steam awards, this game obviously deserves better with friends. Sad that it was removed. Next release will surely be better."
goty
love this game!
This game made me relapse. (Went back to playing Overwatch).
GAME OF THE YEAR
i miss this game for the 2-3 days i played it
woops
garbage
Stupid ass game. I keep getting into matches with this dude named twomad and he just sits there and doesn't do anything. Went to his profile and he has been in the game for 6 days. Game sucks.
-rep
"Rest in peace beside E.T. the Extra-Terrestrial copy, we only had 114 minutes which I could have spent better."
I'm sad its gone :(
"Glad to be able to play while it was available, hope it comes back as a free game. I'll even buy it again if I have to. This game was way too good for them to just trash like that. GIVE IT BACK TO US."
Go WokeGo BrokeThank you.
"really sad that this game got stopped, i really enjoyed this game. hopefully it comes back."
"the original doom has more concurrent players than this, but i'm being held hostage by Hideaki Nishino and being forced to write a good review"
bring it back
"I am going to miss this game. I didn't get to play it for long, but I genuinely enjoyed my time with this. Hoping this one comes back as a f2p game or in some other form."
